Bandit,Reward,Algorithm
Bandit,1.6738343099724915,Epsilon Greedy
Bandit,4.70919538634924,Epsilon Greedy
Bandit,4.753464305918962,Epsilon Greedy
Bandit,4.081591152407255,Epsilon Greedy
Bandit,6.133482993793887,Epsilon Greedy
Bandit,2.52753136995616,Epsilon Greedy
Bandit,3.3798908485392163,Epsilon Greedy
Bandit,3.4750537120629557,Epsilon Greedy
Bandit,1.8753447454691115,Epsilon Greedy
Bandit,4.8013036187322005,Epsilon Greedy
Bandit,3.8350776693541535,Epsilon Greedy
Bandit,4.142750421712316,Epsilon Greedy
Bandit,5.409748717323459,Epsilon Greedy
Bandit,4.225880454541701,Epsilon Greedy
Bandit,2.569874342697908,Epsilon Greedy
Bandit,5.404581878739575,Epsilon Greedy
Bandit,4.9718848178205794,Epsilon Greedy
Bandit,3.783169007292637,Epsilon Greedy
Bandit,3.8941884633921573,Epsilon Greedy
Bandit,3.8402982951434574,Epsilon Greedy
Bandit,4.278359670048754,Epsilon Greedy
Bandit,4.533626456703487,Epsilon Greedy
Bandit,3.3222080836357635,Epsilon Greedy
Bandit,4.697543459478548,Epsilon Greedy
Bandit,4.086322575709896,Epsilon Greedy
Bandit,3.7080372918866127,Epsilon Greedy
Bandit,4.479414550138473,Epsilon Greedy
Bandit,5.2854794961456655,Epsilon Greedy
Bandit,3.907033910683328,Epsilon Greedy
Bandit,4.830107186540381,Epsilon Greedy
Bandit,-0.09380815269454379,Epsilon Greedy
Bandit,4.635187360948917,Epsilon Greedy
Bandit,3.9171657322326348,Epsilon Greedy
Bandit,4.861062395249337,Epsilon Greedy
Bandit,2.8425140837782905,Epsilon Greedy
Bandit,5.793778979722188,Epsilon Greedy
Bandit,5.060309897905728,Epsilon Greedy
Bandit,4.4273174690474715,Epsilon Greedy
Bandit,4.28644977549955,Epsilon Greedy
Bandit,3.7086879562986423,Epsilon Greedy
Bandit,2.5224638453058237,Epsilon Greedy
Bandit,3.624979183761762,Epsilon Greedy
Bandit,3.751336691364754,Epsilon Greedy
Bandit,1.207051135800011,Epsilon Greedy
Bandit,4.098824037962724,Epsilon Greedy
Bandit,3.4197005126025957,Epsilon Greedy
Bandit,1.2030389997443443,Epsilon Greedy
Bandit,4.538002187729496,Epsilon Greedy
Bandit,3.5247758631521986,Epsilon Greedy
Bandit,3.7534813113309187,Epsilon Greedy
Bandit,4.6479866987566165,Epsilon Greedy
Bandit,2.324056670915586,Epsilon Greedy
Bandit,4.837325768127322,Epsilon Greedy
Bandit,1.6481612726573984,Epsilon Greedy
Bandit,2.754666802577902,Epsilon Greedy
Bandit,3.9906301872677665,Epsilon Greedy
Bandit,3.7889411117894123,Epsilon Greedy
Bandit,7.086664369073599,Epsilon Greedy
Bandit,3.3706265210175497,Epsilon Greedy
Bandit,3.9987832053391226,Epsilon Greedy
Bandit,4.779136967553514,Epsilon Greedy
Bandit,4.599192598866309,Epsilon Greedy
Bandit,4.577866329287557,Epsilon Greedy
Bandit,4.5376699988342315,Epsilon Greedy
Bandit,3.7191604892996937,Epsilon Greedy
Bandit,5.567279061333287,Epsilon Greedy
Bandit,4.547442073755519,Epsilon Greedy
Bandit,5.839673826714187,Epsilon Greedy
Bandit,3.690647060037673,Epsilon Greedy
Bandit,4.014443036670196,Epsilon Greedy
Bandit,5.445853031872806,Epsilon Greedy
Bandit,4.660040754097803,Epsilon Greedy
Bandit,3.989032381028592,Epsilon Greedy
Bandit,5.091937462139353,Epsilon Greedy
Bandit,5.006007714980645,Epsilon Greedy
Bandit,4.302485491499736,Epsilon Greedy
Bandit,3.7691393801125526,Epsilon Greedy
Bandit,6.323056276594027,Epsilon Greedy
Bandit,4.87969599103026,Epsilon Greedy
Bandit,2.980369998627868,Epsilon Greedy
Bandit,4.00145431363142,Epsilon Greedy
Bandit,2.1485245730253912,Epsilon Greedy
Bandit,3.1769090120803662,Epsilon Greedy
Bandit,5.230764139127541,Epsilon Greedy
Bandit,3.012360426841798,Epsilon Greedy
Bandit,1.6026229360147686,Epsilon Greedy
Bandit,3.8124468342148736,Epsilon Greedy
Bandit,3.9669242856890046,Epsilon Greedy
Bandit,4.761452182007756,Epsilon Greedy
Bandit,3.4833585126489917,Epsilon Greedy
Bandit,3.128673190183963,Epsilon Greedy
Bandit,4.622366612103108,Epsilon Greedy
Bandit,5.908228791945799,Epsilon Greedy
Bandit,2.9295151887116155,Epsilon Greedy
Bandit,3.4529631320918517,Epsilon Greedy
Bandit,4.027439266615782,Epsilon Greedy
Bandit,4.339059012315698,Epsilon Greedy
Bandit,4.8805006064962395,Epsilon Greedy
Bandit,4.6200886856666274,Epsilon Greedy
Bandit,2.850343100484921,Epsilon Greedy
Bandit,2.769602874173997,Epsilon Greedy
Bandit,3.5696544133573123,Epsilon Greedy
Bandit,4.275852157196061,Epsilon Greedy
Bandit,3.4373573519687763,Epsilon Greedy
Bandit,4.7180757129471,Epsilon Greedy
Bandit,4.954036879413785,Epsilon Greedy
Bandit,-1.4555462608174645,Epsilon Greedy
Bandit,3.0471022758397117,Epsilon Greedy
Bandit,4.920472654032766,Epsilon Greedy
Bandit,2.940275559123659,Epsilon Greedy
Bandit,3.672739550841059,Epsilon Greedy
Bandit,3.267936726149523,Epsilon Greedy
Bandit,4.073162587846421,Epsilon Greedy
Bandit,6.164577872468956,Epsilon Greedy
Bandit,4.030213104997809,Epsilon Greedy
Bandit,4.3052814738050404,Epsilon Greedy
Bandit,2.435792985432953,Epsilon Greedy
Bandit,4.385292149760269,Epsilon Greedy
Bandit,2.5391924671801203,Epsilon Greedy
Bandit,3.3552506415713,Epsilon Greedy
Bandit,3.881900453563107,Epsilon Greedy
Bandit,4.1678147928780085,Epsilon Greedy
Bandit,3.0287490642236143,Epsilon Greedy
Bandit,3.2385681989647725,Epsilon Greedy
Bandit,5.869089904091389,Epsilon Greedy
Bandit,3.576649969584227,Epsilon Greedy
Bandit,2.810217603628288,Epsilon Greedy
Bandit,3.736958130203635,Epsilon Greedy
Bandit,3.507108509118659,Epsilon Greedy
Bandit,4.007727187080058,Epsilon Greedy
Bandit,4.350357433625353,Epsilon Greedy
Bandit,4.941095260498439,Epsilon Greedy
Bandit,6.364453485890998,Epsilon Greedy
Bandit,4.171663847134132,Epsilon Greedy
Bandit,4.390020676496118,Epsilon Greedy
Bandit,4.716162167123386,Epsilon Greedy
Bandit,4.674462085683747,Epsilon Greedy
Bandit,2.6271427377132355,Epsilon Greedy
Bandit,2.9695738188128953,Epsilon Greedy
Bandit,3.5940210370392127,Epsilon Greedy
Bandit,3.367314744459757,Epsilon Greedy
Bandit,1.0557797819147094,Epsilon Greedy
Bandit,5.104447271265621,Epsilon Greedy
Bandit,3.8242890757960124,Epsilon Greedy
Bandit,5.027687401510886,Epsilon Greedy
Bandit,3.5275450023002413,Epsilon Greedy
